dokumen,Prediksi,Actual
59,1,1
41,1,0
35,1,1
103,1,1
185,1,0
199,1,1
96,1,0
5,1,1
30,1,0
169,1,1
172,1,1
19,1,0
12,0,0
90,1,0
111,1,1
119,1,1
160,1,0
36,1,0
137,1,1
60,1,0
52,1,0
17,1,0
45,1,0
95,1,0
32,1,0
163,1,0
39,1,0
29,1,1
194,1,1
28,1,0
48,1,0
166,1,1
195,1,1
178,1,1
177,1,1
98,1,0
175,1,1
74,1,0
70,1,0
173,1,1
109,1,1
108,1,1
190,1,0
15,1,0
57,1,0
20,1,0
115,1,1
40,1,1
186,1,0
125,1,1
99,1,1
124,1,1
120,1,1
54,1,0
34,1,0
180,1,1
182,1,0
107,1,1
200,1,1
139,1,1
117,1,1
68,1,0
79,1,0
43,1,0
18,1,0
6,1,1
128,1,1
106,1,1
49,1,0
67,1,0
55,1,0
85,1,0
184,1,0
159,1,0
167,1,1
114,1,1
13,1,0
118,1,1
94,1,0
121,1,1
